Frequency,EarTag,Point,FixLocation,Easting,Northing,Azimuth,Date,Time_O,Time,TimeCategory,Temp_C,Wind,Rain,Observer,Grid
149.233,A1700,3,Flagging Tape,-53.98401,48.35032,53,2019-05-11,12:18:00,121800,Morning,1,5 VR,Very light snow,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,349.5,2019-05-12,14:55:00,145500,Afternoon 1,5,11 NNW,Cloudy,GR,BL
149.233,A1700,2,Corner,-53.98381,48.35182,91,2019-05-12,14:55:00,145500,Afternoon 1,5,11 NNW,Cloudy,IR,BL
149.233,A1700,3,New point,-53.98393,48.35112,65.5,2019-05-12,15:28:00,152800,Afternoon 1,5,11 NNW,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,352,2019-05-13,9:53:00,95300,Morning 2,6,16 NNW,Mixed clouds,GR,BL
149.233,A1700,2,Corner,-53.98381,48.35182,72,2019-05-13,9:55:00,95500,Morning 2,6,16 NNW,Mixed clouds,IR,BL
149.233,A1700,3,Flagging Tape,-53.98401,48.35032,48,2019-05-13,10:10:00,101000,Morning 2,6,16 NNW,Mixed clouds,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,11,2019-05-14,15:20:00,152000,Afternoon 3,14,4 NW,Sunny,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,37,2019-05-14,15:41:00,154100,Afternoon 3,14,4 NW,Sunny,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,80.5,2019-05-14,15:44:00,154400,Afternoon 3,14,4 NW,Sunny,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,348,2019-05-15,9:09:00,90900,Morning 1,7,5 ESE,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,31,2019-05-15,9:28:00,92800,Morning 1,7,5 ESE,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,82.5,2019-05-15,9:09:00,90900,Morning 1,7,5 ESE,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,357,2019-05-16,15:01:00,150100,Afternoon 2,8,13 S,Cloudy,GR,BL
149.233,A1700,2,Corner,-53.98381,48.35182,80.5,2019-05-16,15:01:00,150100,Afternoon 2,8,13 S,Cloudy,IR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,59.5,2019-05-16,15:11:00,151100,Afternoon 2,8,13 S,Cloudy,IR,BL
149.233,A1700,1,Corner,-53.98381,48.35182,99.5,2019-05-17,15:12:00,151200,Afternoon 2,14,10 W,Sun & Clouds,IR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,52,2019-05-17,15:25:00,152500,Afternoon 2,15,11 W,Sun & Clouds,GR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,58,2019-05-17,15:28:00,152800,Afternoon 2,16,12 W,Sun & Clouds,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,355,2019-05-18,8:29:00,82900,Morning 1,4,12 SW,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,23,2019-05-18,8:43:00,84300,Morning 1,4,12 SW,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,64.5,2019-05-18,8:30:00,83000,Morning 1,4,12 SW,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,378,2019-05-19,15:13:00,151300,Afternoon 1,4,20 NW,Mostly Cloudy,GR,BL
149.233,A1700,2,Corner,-53.98381,48.35182,77.5,2019-05-19,15:13:00,151300,Afternoon 1,4,20 NW,Mostly Cloudy,IR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,50,2019-05-19,15:30:00,153000,Afternoon 1,4,20 NW,Mostly Cloudy,IR,BL
149.233,A1700,1,Spruce,-53.98246,48.34985,19,2019-05-20,19:31:00,193100,Evening 1,App not working,,Sun & Clouds,GR,BL
149.233,A1700,2,New point,-53.9848,48.35209,78,2019-05-20,19:21:00,192100,Evening 1,App not working,,Sun & Clouds,IR,BL
149.233,A1700,3,Rock,-53.98146,48.34948,6,2019-05-20,19:34:00,193400,Evening 1,App not working,,Sun & Clouds,GR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,324,2019-05-21,6:08:00,60800,Morning 2,App not working,,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,6.5,2019-05-21,6:21:00,62100,Morning 2,App not working,,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,85.5,2019-05-21,6:08:00,60800,Morning 2,App not working,,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,330.5,2019-05-22,6:11:00,61100,Morning 2,1,11 NNE,Drizzling,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,5,2019-05-22,6:30:00,63000,Morning 2,1,11 NNE,Drizzling,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,73,2019-05-22,6:13:00,61300,Morning 2,1,11 NNE,Drizzling,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,353,2019-05-23,9:27:00,92700,Morning 2,1,18 NW,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,20,2019-05-23,9:40:00,94000,Morning 2,1,18 NW,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,62.5,2019-05-23,9:27:00,92700,Morning 2,1,18 NW,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,1,2019-05-24,19:51:00,195100,Evening 2,10,7 WNW,Sun & Clouds,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,27.5,2019-05-24,20:02:00,200200,Evening 2,10,7 WNW,Sun & Clouds,GR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,55,2019-05-24,19:58:00,195800,Evening 2,10,7 WNW,Sun & Clouds,IR,BL
149.233,A1700,1,Corner,-53.98381,48.35182,55,2019-05-25,7:17:00,71700,Morning 4,4,10 NW,Clear,IR,BL
149.233,A1700,2,Knoll,-53.98013,48.34954,348,2019-05-25,7:15:00,71500,Morning 4,4,10 NW,Clear,GR,BL
149.233,A1700,3,Spruce,-53.98246,48.34985,18,2019-05-25,7:28:00,72800,Morning 4,4,10 NW,Clear,GR,BL
149.233,A1700,1,Corner,-53.98381,48.35182,50.5,2019-05-26,16:20:00,162000,Afternoon 2,14,8 ENE,Sunny,GR,BL
149.233,A1700,2,Middle,-53.98392,48.35111,36,2019-05-26,16:25:00,162500,Afternoon 2,14,8 ENE,Sunny,GR,BL
149.233,A1700,3,Knoll,-53.98013,48.34954,320,2019-05-26,16:49:00,164900,Afternoon 2,14,8 ENE,Sunny,GR,BL
149.233,A1700,1,Corner,-53.98381,48.35182,55,2019-05-27,17:17:00,171700,Afternoon 2,6,11 E,Sun & Clouds,GR,BL
149.233,A1700,2,Middle,-53.98392,48.35111,42,2019-05-27,17:22:00,172200,Afternoon 2,6,11 E,Sun & Clouds,GR,BL
149.233,A1700,3,Spruce,-53.98246,48.34985,16,2019-05-27,17:32:00,173200,Afternoon 2,6,11 E,Sun & Clouds,GR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,10,2019-05-28,9:42:00,94200,Morning 1,4,2 NE,Cloudy,GR,BL
149.233,A1700,2,Rock,-53.98146,48.34948,21,2019-05-28,9:49:00,94900,Morning 1,4,2 NE,Cloudy,GR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,59,2019-05-28,10:05:00,100500,Morning 1,4,2 NE,Cloudy,GR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,3,2019-06-11,6:28:00,62800,Morning 2,6,20 NW,Some Clouds,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,31,2019-06-11,6:57:00,65700,Morning 2,6,20 NW,Some Clouds,GR,BL
149.233,A1700,3,Squirrel,-53.9848,48.35209,91.5,2019-06-11,6:47:00,64700,Morning 2,6,20 NW,Some Clouds,IR,BL
149.233,A1700,1,Spruce,-53.98246,48.34985,42,2019-06-12,6:32:00,63200,Morning 2,8,20 S,Overcast,GR,BL
149.233,A1700,2,Rock,-53.98146,48.34948,31,2019-06-12,6:47:00,64700,Morning 2,8,20 S,Overcast,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,86,2019-06-12,6:32:00,63200,Morning 2,8,20 S,Overcast,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,342,2019-06-13,6:08:00,60800,Morning 2,7,20 SW,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,26.5,2019-06-13,6:21:00,62100,Morning 2,7,20 SW,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,83.5,2019-06-13,6:11:00,61100,Morning 2,7,20 SW,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,13,2019-06-14,19:43:00,194300,Evening 3,10,20 SE,Some Clouds,GR,BL
149.233,A1700,2,Corner,-53.98381,48.35182,97,2019-06-14,19:42:00,194200,Evening 3,10,20 SE,Some Clouds,IR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,77.5,2019-06-14,19:57:00,195700,Evening 3,10,20 SE,Some Clouds,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,355,2019-06-16,19:29:00,192900,Evening 1,11,10 S,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,38,2019-06-16,19:41:00,194100,Evening 1,11,10 S,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,88.5,2019-06-16,19:27:00,192700,Evening 1,11,10 S,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,342,2019-06-17,5:58:00,55800,Morning 2,7,5 VR,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,18,2019-06-17,6:10:00,61000,Morning 2,7,5 VR,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,69,2019-06-17,5:58:00,55800,Morning 2,7,5 VR,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,338,2019-06-18,19:58:00,195800,Evening 2,10,20 NW,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,13,2019-06-18,20:12:00,201200,Evening 2,10,20 NW,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,92,2019-06-18,19:57:00,195700,Evening 2,10,20 NW,Cloudy,IR,BL
149.233,A1700,1,Spruce,-53.98246,48.34985,14,2019-06-19,7:23:00,72300,Morning 4,7,20 NW,Cloudy,GR,BL
149.233,A1700,2,Top,-53.98657,48.35251,80,2019-06-19,7:11:00,71100,Morning 4,7,20 NW,Cloudy,IR,BL
149.233,A1700,3,Squirrel,-53.9848,48.35209,69,2019-06-19,7:21:00,72100,Morning 4,7,20 NW,Cloudy,IR,BL
149.233,A1700,1,Spruce,-53.98246,48.34985,28,2019-06-20,11:33:00,113300,Morning 2,14,10 W,Sunny,GR,BL
149.233,A1700,2,Corner,-53.98381,48.35182,52.5,2019-06-20,11:22:00,112200,Morning 2,14,10 W,Sunny,IR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,43.5,2019-06-20,11:35:00,113500,Morning 2,14,10 W,Sunny,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,3,2019-06-21,5:22:00,52200,Morning 1,10,10 SE,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,31.5,2019-06-21,5:45:00,54500,Morning 1,10,10 SE,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,60.5,2019-06-21,5:22:00,52200,Morning 1,10,10 SE,Cloudy,IR,BL
149.233,A1700,1,Top,-53.98657,48.35251,124.5,2019-06-24,20:22:00,202200,Evening 3,10,10 NW,Partly Cloudy,IR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,30,2019-06-24,20:03:00,200300,Evening 3,10,10 NW,Partly Cloudy,GR,BL
149.233,A1700,3,Rock,-53.98146,48.34948,344,2019-06-24,20:14:00,201400,Evening 3,10,10 NW,Partly Cloudy,GR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,331,2019-06-25,5:17:00,51700,Morning 1,8,15 NW,Partly Cloudy,GR,BL
149.233,A1700,2,Corner,-53.98381,48.35182,36.5,2019-06-25,5:26:00,52600,Morning 1,8,15 NW,Partly Cloudy,IR,BL
149.233,A1700,3,Squirrel,-53.9848,48.35209,50.5,2019-06-25,5:33:00,53300,Morning 1,8,15 NW,Partly Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,339.5,2019-06-26,5:14:00,51400,Morning 1,8,10 VR,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,25,2019-06-26,5:32:00,53200,Morning 1,8,10 VR,Cloudy,GR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,65.5,2019-06-26,5:36:00,53600,Morning 1,8,10 VR,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,356,2019-06-27,5:51:00,55100,Morning 2,9,10 VR,Partly Cloudy,GR,BL
149.233,A1700,2,Rock,-53.98146,48.34948,23,2019-06-27,6:12:00,61200,Morning 2,9,10 VR,Partly Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,103.5,2019-06-27,5:50:00,55000,Morning 2,9,10 VR,Partly Cloudy,IR,BL
149.233,A1700,1,Corner,-53.98381,48.35182,78,2019-06-28,6:05:00,60500,Morning 2,5,2 NNW,Cloudy,IR,BL
149.233,A1700,2,Middle,-53.98392,48.35111,65.5,2019-06-28,6:19:00,61900,Morning 2,5,2 NNW,Cloudy,IR,BL
149.233,A1700,3,Spruce,-53.98246,48.34985,32,2019-06-28,6:08:00,60800,Morning 2,5,2 NNW,Cloudy,GR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,359,2019-07-10,6:20:00,62000,Morning 1,9,10 NW,Cloudy,GR,BL
149.233,A1700,2,Corner,-53.98381,48.35182,79,2019-07-10,6:30:00,63000,Morning 1,9,10 NW,Cloudy,IR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,59.5,2019-07-10,6:39:00,63900,Morning 1,9,10 NW,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,11,2019-07-13,19:00:00,190000,Evening 3,18,14 SSW,Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,43,2019-07-13,19:17:00,191700,Evening 3,18,14 SSW,Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,83,2019-07-13,19:06:00,190600,Evening 3,18,14 SSW,Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,355,2019-07-22,18:43:00,184300,Evening 1,19,13 NW,Partly Cloudy,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,20,2019-07-22,18:53:00,185300,Evening 1,19,13 NW,Partly Cloudy,GR,BL
149.233,A1700,3,Corner,-53.98381,48.35182,73,2019-07-22,18:43:00,184300,Evening 1,19,13 NW,Partly Cloudy,IR,BL
149.233,A1700,1,Knoll,-53.98013,48.34954,1.5,2019-07-29,20:08:00,200800,Evening 3,22,16 SW,Clear,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,36,2019-07-29,20:12:00,201200,Evening 3,22,16 SW,Clear,GR,BL
149.233,A1700,3,Middle,-53.98392,48.35111,68.5,2019-07-29,20:23:00,202300,Evening 3,22,16 SW,Clear,IR,BL
149.233,A1700,1,Corner,-53.98381,48.35182,89,2019-08-26,18:24:00,182400,Evening 3,20,6 NE,Sunny,IR,BL
149.233,A1700,2,Knoll,-53.98013,48.34954,8.5,2019-08-26,18:28:00,182800,Evening 3,20,6 NE,Sunny,GR,BL
149.233,A1700,3,Spruce,-53.98246,48.34985,37,2019-08-26,18:36:00,183600,Evening 3,20,6 NE,Sunny,GR,BL
149.233,A1700,1,Flagging Tape,-53.98401,48.35032,39,2019-08-27,6:57:00,65700,Morning 1,11,5 SW,Clear,IR,BL
149.233,A1700,2,Knoll,-53.98013,48.34954,14,2019-08-27,6:28:00,62800,Morning 1,11,5 SW,Clear,GR,BL
149.233,A1700,3,Spruce,-53.98246,48.34985,29,2019-08-27,6:40:00,64000,Morning 1,11,5 SW,Clear,GR,BL
149.233,A1700,1,Corner,-53.98381,48.35182,71,2019-08-28,18:44:00,184400,Evening 1,16,6 NE,Mostly Cloudy,IR,BL
149.233,A1700,2,Knoll,-53.98013,48.34954,353,2019-08-28,18:38:00,183800,Evening 1,16,6 NE,Mostly Cloudy,GR,BL
149.233,A1700,3,Spruce,-53.98246,48.34985,27.5,2019-08-28,18:51:00,185100,Evening 1,16,6 NE,Mostly Cloudy,GR,BL
149.233,A1700,1,Middle,-53.98392,48.35111,59,2019-08-29,6:45:00,64500,Morning 1,10,8 NNE,Drizzling,IR,BL
149.233,A1700,2,Knoll,-53.98013,48.34954,3,2019-08-29,6:26:00,62600,Morning 1,10,8 NNE,Drizzling,GR,BL
149.233,A1700,3,Spruce,-53.98246,48.34985,35.5,2019-08-29,6:33:00,63300,Morning 1,10,8 NNE,Drizzling,GR,BL
149.233,A1700,1,Middle,-53.98392,48.35111,63.5,2019-08-30,10:27:00,102700,Morning 1,13,13 SSW,Overcast,IR,BL
149.233,A1700,2,Knoll,-53.98013,48.34954,344,2019-08-30,10:08:00,100800,Morning 1,13,13 SSW,Overcast,GR,BL
149.233,A1700,3,Rock,-53.98146,48.34948,4.5,2019-08-30,10:24:00,102400,Morning 1,13,13 SSW,Overcast,GR,BL
149.233,A1700,1,Spruce,-53.98246,48.34985,17,2019-08-31,6:35:00,63500,Morning 1,16,12 WSW,Clear,GR,BL
149.233,A1700,2,Rock,-53.98146,48.34948,346.5,2019-08-31,6:45:00,64500,Morning 1,16,12 WSW,Clear,GR,BL
149.233,A1700,3,Flagging Tape,-53.98401,48.35032,67,2019-08-31,6:52:00,65200,Morning 1,16,12 WSW,Clear,GR,BL
149.233,A1700,1,Flagging Tape,-53.98401,48.35032,45,2019-09-01,8:50:00,85000,Morning 2,15,19 WSW,Sunny,GR,BL
149.233,A1700,2,Spruce,-53.98246,48.34985,13,2019-09-01,8:55:00,85500,Morning 2,15,19 WSW,Sunny,GR,BL
149.233,A1700,3,Knoll,-53.98013,48.34954,339,2019-09-01,9:11:00,91100,Morning 2,15,19 WSW,Sunny,GR,BL
149.294,A1698,1,Knoll,-53.98013,48.34954,318,2019-05-10,15:19:00,151900,Late Afternoon,,,No,GR,BL
149.294,A1698,2,Corner,-53.98381,48.35182,329,2019-05-10,15:55:00,155500,Late Afternoon,,,No,IR,BL
149.294,A1698,3,Flagging Tape,-53.98401,48.35032,345,2019-05-10,16:50:00,165000,Late Afternoon,,,No,IR,BL
149.294,A1698,1,Corner,-53.98381,48.35182,239,2019-05-12,8:57:00,85700,Morning 1,2,9 NE,Wet snow,IR,BL
149.294,A1698,2,Spruce,-53.98246,48.34985,325,2019-05-12,9:25:00,92500,Morning 1,2,9 NE,Wet snow,GR,BL
149.294,A1698,3,Flagging Tape,-53.98401,48.35032,345,2019-05-12,9:40:00,94000,Morning 1,2,9 NE,Wet snow,IR,BL
149.294,A1698,1,Knoll,-53.98013,48.34954,300,2019-05-13,11:51:00,115100,Morning 4,6,13 NNW,Mixed clouds,GR,BL
149.294,A1698,2,Corner,-53.98381,48.35182,260,2019-05-13,11:50:00,115000,Morning 4,6,13 NNW,Mixed clouds,IR,BL
149.294,A1698,3,Flagging Tape,-53.98401,48.35032,318,2019-05-13,11:55:00,115500,Morning 4,6,13 NNW,Mixed clouds,IR,BL
149.294,A1698,1,Knoll,-53.98013,48.34954,303,2019-05-14,13:08:00,130800,Afternoon 1,12,6 NW,Sunny,GR,BL
149.294,A1698,2,Corner,-53.98381,48.35182,238,2019-05-14,13:08:00,130800,Afternoon 1,12,6 NW,Sunny,IR,BL
149.294,A1698,3,Middle,-53.98392,48.35111,318,2019-05-14,13:24:00,132400,Afternoon 1,12,6 NW,Sunny,IR,BL
