ID,Herbivore,Herbivore Scientific Name,Plant Species,Plant Scientific Name,Plant group,N,P,C,StoichUnits,Protein,Carbohydrate,UnspFiber,NDF,ADF,Cellulose,Hemicellulose,Lignin,ADL,Fat,Ash,MnUnits,Terpenoids,TerpUnits,Tannins,TannUnits,Phenolics,PhenUnits,Resins,ResUnits,Monterpenes,MoneTerpUnits,SourceInPaper,Notes,Ref
5,Snowshoe hare,Lepus americanus,Northern goldenrod,Solidago multiradiata,,,,,,17.700,,52.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Late July column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Yarrow,Achillea millefolium,,,,,,16.500,,45.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Red fruit bearberry,Arctostaphylos rubra,,,,,,11.400,,38.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,American dwarf birch,Betula glandulosa,Broad-leaved,,,,,17.800,,51.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Creeping dogwood,Cornus canadensis,,,,,,10.700,,44.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Fireweed,Epilobium angustifolium,,,,,,15.100,,54.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Bunchgrass,Festuca altaica,,,,,,12.300,,60.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Arctic lupine,Lupinus arcticus,,,,,,15.800,,39.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Willow,Salix spp.,Broad-leaved,,,,,15.500,,43.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Canada buffaloberry,Shepherdia canadensis,,,,,,24.500,,42.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
5,Snowshoe hare,Lepus americanus,Northern goldenrod,Solidago multiradiata,,,,,,16.900,,56.000,,,,,,,,,% dry matter,,,,,,,,,,,"Table4, Table7",data from Mid August column in both tables,"Seccombe-Hett, P., and R. Turkington. 2008. Summer diet selection of snowshoe hares: a test of nutritional hypotheses. Oikos 117:1874–1884."
10,Mountain hare,Lepus timidus,Aspen,Populus tremula,Broad-leaved,1.700,,,% dry matter,,,,49.351,31.590,16.260,,15.187,,,,% dry matter,,,,,23.647,mg/g drymass,,,,,Figure4,"from analyses of bark, Fibers as % dry matter","Hjältén, J., and T. Palo. 1992. Selection of Deciduous Trees by Free Ranging Voles and Hares in Relation to Plant Chemistry. Oikos 63:477."
10,Mountain hare,Lepus timidus,Birch,Betula pubescens,Broad-leaved,0.990,,,% dry matter,,,,51.445,42.293,9.982,,32.049,,,,% dry matter,,,,,54.984,mg/g drymass,,,,,Figure4,"from analyses of bark, Fibers as % dry matter","Hjältén, J., and T. Palo. 1992. Selection of Deciduous Trees by Free Ranging Voles and Hares in Relation to Plant Chemistry. Oikos 63:477."
10,Mountain hare,Lepus timidus,Alder,Alnus incana,Broad-leaved,1.800,,,% dry matter,,,,55.547,43.754,11.099,,32.519,,,,% dry matter,,,,,31.999,mg/g drymass,,,,,Figure4,"from analyses of bark, Fibers as % dry matter","Hjältén, J., and T. Palo. 1992. Selection of Deciduous Trees by Free Ranging Voles and Hares in Relation to Plant Chemistry. Oikos 63:477."
11,Mountain hare,Lepus timidus,Aspen,Populus tremula,Broad-leaved,1.515,,,% dry matter,,,,,,,,,,,,,,,11.489,mg/g drymass,21.739,mg/g drymass,,,,,"Figure1, Figure2",for Male individuals of each plant species,"Hjältén, J. 1992. Plant sex and hare feeding preferences. Oecologia 89:253–256."
11,Mountain hare,Lepus timidus,Goat willow,Salix caprea,Broad-leaved,1.766,,,% dry matter,,,,,,,,,,,,,,,29.052,mg/g drymass,57.074,mg/g drymass,,,,,"Figure1, Figure2",for Male individuals of each plant species,"Hjältén, J. 1992. Plant sex and hare feeding preferences. Oecologia 89:253–256."
11,Mountain hare,Lepus timidus,Bay willow,Salix pentandra,Broad-leaved,1.311,,,% dry matter,,,,,,,,,,,,,,,12.308,mg/g drymass,20.812,mg/g drymass,,,,,"Figure1, Figure2",for Male individuals of each plant species,"Hjältén, J. 1992. Plant sex and hare feeding preferences. Oecologia 89:253–256."
11,Mountain hare,Lepus timidus,Bog-myrtle,Myrica gale,Broad-leaved,1.633,,,% dry matter,,,,,,,,,,,,,,,12.308,mg/g drymass,41.914,mg/g drymass,,,,,"Figure1, Figure2",for Male individuals of each plant species,"Hjältén, J. 1992. Plant sex and hare feeding preferences. Oecologia 89:253–256."
11,Mountain hare,Lepus timidus,Aspen,Populus tremula,Broad-leaved,0.789,,,% dry matter,,,,,,,,,,,,,,,13.634,mg/g drymass,12.834,mg/g drymass,,,,,"Figure1, Figure2",for Female individuals of each plant species,"Hjältén, J. 1992. Plant sex and hare feeding preferences. Oecologia 89:253–256."
11,Mountain hare,Lepus timidus,Goat willow,Salix caprea,Broad-leaved,1.494,,,% dry matter,,,,,,,,,,,,,,,35.868,mg/g drymass,63.274,mg/g drymass,,,,,"Figure1, Figure2",for Female individuals of each plant species,"Hjältén, J. 1992. Plant sex and hare feeding preferences. Oecologia 89:253–256."
11,Mountain hare,Lepus timidus,Bay willow,Salix pentandra,Broad-leaved,1.367,,,% dry matter,,,,,,,,,,,,,,,14.308,mg/g drymass,32.531,mg/g drymass,,,,,"Figure1, Figure2",for Female individuals of each plant species,"Hjältén, J. 1992. Plant sex and hare feeding preferences. Oecologia 89:253–256."
11,Mountain hare,Lepus timidus,Bog myrtle,Myrica gale,,1.810,,,% dry matter,,,,,,,,,,,,,,,14.308,mg/g drymass,27.782,mg/g drymass,,,,,"Figure1, Figure2",for Female individuals of each plant species,"Hjältén, J. 1992. Plant sex and hare feeding preferences. Oecologia 89:253–256."
12,Snowshoe hare,Lepus americanus,Quaking aspen,Populus tremuloides,Broad-leaved,1.357,0.198,,% dry weight,,,,,,,,,,,,,,,,,,,15.390,% dry matter,,,Figure1,for adventitious shoots of each plant species; Resins are phenolics and tanning combined,"Bryant, J. P. 1981. Phytochemical deterrence of snowshoe hare browsing by adventitious shoots of four alaskan trees. Science 213:889–890."
12,Snowshoe hare,Lepus americanus,Balsam poplar,Populus balsamifera,Broad-leaved,1.128,0.168,,% dry weight,,,,,,,,,,,,,,,,,,,32.578,% dry matter,,,Figure1,for adventitious shoots of each plant species; Resins are phenolics and tanning combined,"Bryant, J. P. 1981. Phytochemical deterrence of snowshoe hare browsing by adventitious shoots of four alaskan trees. Science 213:889–890."
12,Snowshoe hare,Lepus americanus,Paper birch,Betula papyrifera,Broad-leaved,1.292,0.148,,% dry weight,,,,,,,,,,,,,,,,,,,44.338,% dry matter,,,Figure1,for adventitious shoots of each plant species; Resins are phenolics and tanning combined,"Bryant, J. P. 1981. Phytochemical deterrence of snowshoe hare browsing by adventitious shoots of four alaskan trees. Science 213:889–890."
12,Snowshoe hare,Lepus americanus,Green alder,Alnus crispa,Broad-leaved,1.505,0.138,,% dry weight,,,,,,,,,,,,,,,,,,,22.189,% dry matter,,,Figure1,for adventitious shoots of each plant species; Resins are phenolics and tanning combined,"Bryant, J. P. 1981. Phytochemical deterrence of snowshoe hare browsing by adventitious shoots of four alaskan trees. Science 213:889–890."
12,Snowshoe hare,Lepus americanus,Quaking aspen,Populus tremuloides,Broad-leaved,0.879,0.108,,% dry weight,,,,,,,,,,,,,,,,,,,6.332,% dry matter,,,Figure1,formature-growth form twigs of each plant species; Resins are phenolics and tanning combined,"Bryant, J. P. 1981. Phytochemical deterrence of snowshoe hare browsing by adventitious shoots of four alaskan trees. Science 213:889–890."
12,Snowshoe hare,Lepus americanus,Balsam poplar,Populus balsamifera,Broad-leaved,0.837,0.128,,% dry weight,,,,,,,,,,,,,,,,,,,14.993,% dry matter,,,Figure1,formature-growth form twigs of each plant species; Resins are phenolics and tanning combined,"Bryant, J. P. 1981. Phytochemical deterrence of snowshoe hare browsing by adventitious shoots of four alaskan trees. Science 213:889–890."
12,Snowshoe hare,Lepus americanus,Paper birch,Betula papyrifera,Broad-leaved,1.040,0.128,,% dry weight,,,,,,,,,,,,,,,,,,,12.996,% dry matter,,,Figure1,formature-growth form twigs of each plant species; Resins are phenolics and tanning combined,"Bryant, J. P. 1981. Phytochemical deterrence of snowshoe hare browsing by adventitious shoots of four alaskan trees. Science 213:889–890."
12,Snowshoe hare,Lepus americanus,Green alder,Alnus crispa,Broad-leaved,1.174,0.117,,% dry weight,,,,,,,,,,,,,,,,,,,13.326,% dry matter,,,Figure1,formature-growth form twigs of each plant species; Resins are phenolics and tanning combined,"Bryant, J. P. 1981. Phytochemical deterrence of snowshoe hare browsing by adventitious shoots of four alaskan trees. Science 213:889–890."
13,Snowshoe hare,Lepus americanus,Green alder,Alnus crispa,Broad-leaved,2.080,0.280,,% dry weight,,12.600,,,,9.900,4.300,6.500,,,,% dry weight,,,,,6.600,% TAE,28.500,% TAE,,,Table1 ,TAE = Tannic Acid Equivalents; data from juvenile growth form buds,"Bryant, J. P., G. D. Wieland, P. B. Reichardt, V. E. Lewis, and M. C. McCarthy. 1983. Pinosylvin methyl ether deters snowshoe hare feeding on green alder. Science 222:1023–1025."
13,Snowshoe hare,Lepus americanus,Green alder,Alnus crispa,Broad-leaved,1.390,0.160,,% dry weight,,8.200,,,,27.200,11.100,12.800,,,,% dry weight,,,,,7.200,% TAE,0.400,% TAE,,,Table1 ,TAE = Tannic Acid Equivalents; data from juvenile growth form internode,"Bryant, J. P., G. D. Wieland, P. B. Reichardt, V. E. Lewis, and M. C. McCarthy. 1983. Pinosylvin methyl ether deters snowshoe hare feeding on green alder. Science 222:1023–1025."
13,Snowshoe hare,Lepus americanus,Green alder,Alnus crispa,Broad-leaved,2.330,0.300,,% dry weight,,11.700,,,,10.200,2.800,6.500,,,,% dry weight,,,,,6.000,% TAE,34.300,% TAE,,,Table1 ,TAE = Tannic Acid Equivalents; data from mature growth form buds,"Bryant, J. P., G. D. Wieland, P. B. Reichardt, V. E. Lewis, and M. C. McCarthy. 1983. Pinosylvin methyl ether deters snowshoe hare feeding on green alder. Science 222:1023–1025."
13,Snowshoe hare,Lepus americanus,Green alder,Alnus crispa,Broad-leaved,2.480,0.300,,% dry weight,,11.200,,,,14.400,0.000,5.300,,,,% dry weight,,,,,4.300,% TAE,25.200,% TAE,,,Table1 ,TAE = Tannic Acid Equivalents; data from mature growth form staminate catkin,"Bryant, J. P., G. D. Wieland, P. B. Reichardt, V. E. Lewis, and M. C. McCarthy. 1983. Pinosylvin methyl ether deters snowshoe hare feeding on green alder. Science 222:1023–1025."
13,Snowshoe hare,Lepus americanus,Green alder,Alnus crispa,Broad-leaved,1.320,0.130,,% dry weight,,8.300,,,,23.300,8.600,13.900,,,,% dry weight,,,,,7.200,% TAE,4.800,% TAE,,,Table1 ,TAE = Tannic Acid Equivalents; data from mature growth form internode,"Bryant, J. P., G. D. Wieland, P. B. Reichardt, V. E. Lewis, and M. C. McCarthy. 1983. Pinosylvin methyl ether deters snowshoe hare feeding on green alder. Science 222:1023–1025."
15,Mountain hare,Lepus timidus,Silver birch,Betula alba,Broad-leaved,,0.190,,% dry weight,8.000,6.200,26.100,,,,,,,9.100,2.200,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
15,Mountain hare,Lepus timidus,Willow,Salix spp.,Broad-leaved,,0.180,,% dry weight,7.300,7.700,32.400,,,,,,,3.800,2.700,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
15,Mountain hare,Lepus timidus,Rowan,Sorbus aucuparia,Broad-leaved,,0.200,,% dry weight,6.400,5.800,28.800,,,,,,,3.300,2.900,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
15,Mountain hare,Lepus timidus,European blueberry,Vaccinium myrtillus,,,0.170,,% dry weight,7.500,9.900,31.600,,,,,,,2.800,2.900,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
15,Mountain hare,Lepus timidus,Bog whortleberry,Vaccinium uliginosum,,,0.140,,% dry weight,6.100,8.800,37.900,,,,,,,3.900,1.600,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
15,Mountain hare,Lepus timidus,Aspen,Populus tremula,Broad-leaved,,0.190,,% dry weight,6.900,5.000,33.500,,,,,,,5.000,3.200,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
15,Mountain hare,Lepus timidus,Heather,Calluna vulgaris,,,0.110,,% dry weight,5.700,7.000,27.500,,,,,,,7.000,2.800,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
15,Mountain hare,Lepus timidus,Dwarf birch,Betula nana,Broad-leaved,,0.150,,% dry weight,7.700,6.300,23.100,,,,,,,6.600,1.900,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
15,Mountain hare,Lepus timidus,Black alder,Alnus glutinosa,Broad-leaved,,0.170,,% dry weight,9.700,9.500,20.800,,,,,,,8.000,3.300,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
15,Mountain hare,Lepus timidus,Bog myrtle,Myrica gale,,,0.120,,% dry weight,8.900,9.300,26.400,,,,,,,3.900,1.700,% dry weight,,,,,,,,,,,"Table3, Table4",Protein as N*6.25,"Lindlof, B., E. Lindstrom, and A. Pehrson. 1974. Nutrient Content in Relation to Food Preferred by Mountain Hare. The Journal of Wildlife Management 38:875."
16,Snowshoe hare,Lepus americanus,Siberian larch,Larix sibericus,Coniferous,,0.200,,% dry matter,13.400,,,40.600,32.400,14.800,8.100,,15.800,,,% dry matter,,,,,17.900,% dry matter,,% dry matter,,,"Table2,Table4",Protein as N*6.25; experiment 1 (Table 2),"Rangen, S. A., A. W. L. Hawley, and R. J. Hudson. 1994. Relationship of snowshoe hare feeding preferences to nutrient and tannin content of four conifers. Canadian Journal of Forest Research 24:240–245."
