Frequency,EarTag,Date,Point,FixLocation,Easting,Northing,Azimuth,Time_O,Time,TimeCategory,Temp_C,Wind,Rain,Observer,Grid
149.124,A1688,2019-05-16,3,Corner,-53.98381,48.35182,51.5,09:30:00,93000,Morning 1,3,4 SW,Cloudy,IR,BL
149.124,A1688,2019-05-17,1,Spruce,-53.98246,48.34985,1,09:28:00,92800,Morning 1,3,10 SW,Cloudy,GR,BL
149.124,A1688,2019-05-17,2,Corner,-53.98381,48.35182,86.5,09:15:00,91500,Morning 1,3,10 SW,Cloudy,IR,BL
149.124,A1688,2019-05-17,3,Top,-53.98657,48.35251,108,09:32:00,93200,Morning 1,3,10 SW,Cloudy,IR,BL
149.124,A1688,2019-05-18,1,Knoll,-53.98013,48.34954,334,08:27:00,82700,Morning 1,4,12 SW,Cloudy,GR,BL
149.124,A1688,2019-05-18,2,Spruce,-53.98246,48.34985,2,08:41:00,84100,Morning 1,4,12 SW,Cloudy,GR,BL
149.124,A1688,2019-05-18,3,Corner,-53.98381,48.35182,63.5,08:27:00,82700,Morning 1,4,12 SW,Cloudy,IR,BL
149.124,A1688,2019-05-19,1,Knoll,-53.98013,48.34954,359,17:13:00,171300,Afternoon 4,4,14 NW,Cloudy,GR,BL
149.124,A1688,2019-05-19,2,Corner,-53.98381,48.35182,82,17:15:00,171500,Afternoon 4,4,14 NW,Cloudy,IR,BL
149.124,A1688,2019-05-19,3,Middle,-53.98392,48.35111,62,17:18:00,171800,Afternoon 4,4,14 NW,Cloudy,IR,BL
149.124,A1688,2019-05-20,1,Knoll,-53.98013,48.34954,329,05:40:00,54000,Morning 1,1,11 NW,Cloudy,GR,BL
149.124,A1688,2019-05-20,2,Spruce,-53.98246,48.34985,356,05:53:00,55300,Morning 1,1,11 NW,Cloudy,GR,BL
149.124,A1688,2019-05-20,3,Corner,-53.98381,48.35182,60.5,05:40:00,54000,Morning 1,1,11 NW,Cloudy,IR,BL
149.124,A1688,2019-05-21,1,Knoll,-53.98013,48.34954,322,18:50:00,185000,Evening 1,4,5 ENE,Cloudy,GR,BL
149.124,A1688,2019-05-21,2,Spruce,-53.98246,48.34985,343,19:01:00,190100,Evening 1,4,5 ENE,Cloudy,GR,BL
149.124,A1688,2019-05-21,3,Corner,-53.98381,48.35182,42.5,18:48:00,184800,Evening 1,4,5 ENE,Cloudy,IR,BL
149.124,A1688,2019-05-22,1,Knoll,-53.98013,48.34954,315,18:49:00,184900,Evening 1,1,17 NNW,Drizzling,GR,BL
149.124,A1688,2019-05-22,2,Corner,-53.98381,48.35182,84.5,18:50:00,185000,Evening 1,1,17 NNW,Drizzling,IR,BL
149.124,A1688,2019-05-22,3,Spruce,-53.98246,48.34985,344,18:56:00,185600,Evening 1,1,17 NNW,Drizzling,GR,BL
149.124,A1688,2019-05-23,1,Corner,-53.98381,48.35182,92.5,08:59:00,85900,Morning 1,1,18 NW,Cloudy,IR,BL
149.124,A1688,2019-05-23,2,Spruce,-53.98246,48.34985,30.5,09:14:00,91400,Morning 1,1,18 NW,Cloudy,GR,BL
149.124,A1688,2019-05-23,3,Middle,-53.98392,48.35111,76,09:21:00,92100,Morning 1,1,18 NW,Cloudy,IR,BL
149.124,A1688,2019-05-24,1,Knoll,-53.98013,48.34954,334,05:40:00,54000,Morning 1,1,14 NNW,Cloudy,GR,BL
149.124,A1688,2019-05-24,2,Spruce,-53.98246,48.34985,7,05:45:00,54500,Morning 1,1,14 NNW,Cloudy,GR,BL
149.124,A1688,2019-05-24,3,Corner,-53.98381,48.35182,62,05:42:00,54200,Morning 1,1,14 NNW,Cloudy,IR,BL
149.124,A1688,2019-05-25,1,Knoll,-53.98013,48.34954,324,06:14:00,61400,Morning 2,1,5 WSW,Clear,GR,BL
149.124,A1688,2019-05-25,2,Spruce,-53.98246,48.34985,356,06:23:00,62300,Morning 2,1,5 WSW,Clear,GR,BL
149.124,A1688,2019-05-25,3,Corner,-53.98381,48.35182,62.5,06:15:00,61500,Morning 2,1,5 WSW,Clear,IR,BL
149.124,A1688,2019-05-26,1,Squirrel,-53.9848,48.35209,62,17:43:00,174300,Afternoon 4,12,7 NE,Sunny,GR,BL
149.124,A1688,2019-05-26,2,Corner,-53.98381,48.35182,48,17:51:00,175100,Afternoon 4,12,7 NE,Sunny,GR,BL
149.124,A1688,2019-05-26,3,Middle,-53.98392,48.35111,39,17:59:00,175900,Afternoon 4,12,7 NE,Sunny,GR,BL
149.124,A1688,2019-05-27,1,Corner,-53.98381,48.35182,62,18:28:00,182800,Evening 2,5,8 ENE,Cloudy,GR,BL
149.124,A1688,2019-05-27,2,Flagging Tape,-53.98401,48.35032,27,18:37:00,183700,Evening 2,5,8 ENE,Cloudy,GR,BL
149.124,A1688,2019-05-27,3,Spruce,-53.98246,48.34985,359,18:46:00,184600,Evening 2,5,8 ENE,Cloudy,GR,BL
149.124,A1688,2019-05-28,1,Rock,-53.98146,48.34948,357,10:52:00,105200,Morning 3,4,5 E,Cloudy,GR,BL
149.124,A1688,2019-05-28,2,Middle,-53.98392,48.35111,46,11:11:00,111100,Morning 3,4,5 E,Cloudy,GR,BL
149.124,A1688,2019-05-28,3,Corner,-53.98381,48.35182,79,11:15:00,111500,Morning 3,4,5 E,Cloudy,GR,BL
149.233,A1700,2019-05-11,1,Knoll,-53.98013,48.34954,359,11:05:00,110500,Morning,1,5 VR,Very light snow,GR,BL
149.233,A1700,2019-05-11,2,New point,-53.98392,48.35098,64,11:45:00,114500,Morning,1,5 VR,Very light snow,IR,BL
149.233,A1700,2019-05-11,3,Flagging Tape,-53.98401,48.35032,53,12:18:00,121800,Morning,1,5 VR,Very light snow,IR,BL
149.233,A1700,2019-05-12,1,Knoll,-53.98013,48.34954,349.5,14:55:00,145500,Afternoon 1,5,11 NNW,Cloudy,GR,BL
149.233,A1700,2019-05-12,2,Corner,-53.98381,48.35182,91,14:55:00,145500,Afternoon 1,5,11 NNW,Cloudy,IR,BL
149.233,A1700,2019-05-12,3,New point,-53.98393,48.35112,65.5,15:28:00,152800,Afternoon 1,5,11 NNW,Cloudy,IR,BL
149.233,A1700,2019-05-13,1,Knoll,-53.98013,48.34954,352,09:53:00,95300,Morning 2,6,16 NNW,Mixed clouds,GR,BL
149.233,A1700,2019-05-13,2,Corner,-53.98381,48.35182,72,09:55:00,95500,Morning 2,6,16 NNW,Mixed clouds,IR,BL
149.233,A1700,2019-05-13,3,Flagging Tape,-53.98401,48.35032,48,10:10:00,101000,Morning 2,6,16 NNW,Mixed clouds,IR,BL
149.233,A1700,2019-05-14,1,Knoll,-53.98013,48.34954,11,15:20:00,152000,Afternoon 3,14,4 NW,Sunny,GR,BL
149.233,A1700,2019-05-14,2,Spruce,-53.98246,48.34985,37,15:41:00,154100,Afternoon 3,14,4 NW,Sunny,GR,BL
149.233,A1700,2019-05-14,3,Corner,-53.98381,48.35182,80.5,15:44:00,154400,Afternoon 3,14,4 NW,Sunny,IR,BL
149.233,A1700,2019-05-15,1,Knoll,-53.98013,48.34954,348,09:09:00,90900,Morning 1,7,5 ESE,Cloudy,GR,BL
149.233,A1700,2019-05-15,2,Spruce,-53.98246,48.34985,31,09:28:00,92800,Morning 1,7,5 ESE,Cloudy,GR,BL
149.233,A1700,2019-05-15,3,Corner,-53.98381,48.35182,82.5,09:09:00,90900,Morning 1,7,5 ESE,Cloudy,IR,BL
149.233,A1700,2019-05-16,1,Knoll,-53.98013,48.34954,357,15:01:00,150100,Afternoon 2,8,13 S,Cloudy,GR,BL
149.233,A1700,2019-05-16,2,Corner,-53.98381,48.35182,80.5,15:01:00,150100,Afternoon 2,8,13 S,Cloudy,IR,BL
149.233,A1700,2019-05-16,3,Middle,-53.98392,48.35111,59.5,15:11:00,151100,Afternoon 2,8,13 S,Cloudy,IR,BL
149.233,A1700,2019-05-17,1,Corner,-53.98381,48.35182,99.5,15:12:00,151200,Afternoon 2,14,10 W,Sun & Clouds,IR,BL
149.233,A1700,2019-05-17,2,Spruce,-53.98246,48.34985,52,15:25:00,152500,Afternoon 2,15,11 W,Sun & Clouds,GR,BL
149.233,A1700,2019-05-17,3,Middle,-53.98392,48.35111,58,15:28:00,152800,Afternoon 2,16,12 W,Sun & Clouds,IR,BL
149.233,A1700,2019-05-18,1,Knoll,-53.98013,48.34954,355,08:29:00,82900,Morning 1,4,12 SW,Cloudy,GR,BL
149.233,A1700,2019-05-18,2,Spruce,-53.98246,48.34985,23,08:43:00,84300,Morning 1,4,12 SW,Cloudy,GR,BL
149.233,A1700,2019-05-18,3,Corner,-53.98381,48.35182,64.5,08:30:00,83000,Morning 1,4,12 SW,Cloudy,IR,BL
149.233,A1700,2019-05-19,1,Knoll,-53.98013,48.34954,378,15:13:00,151300,Afternoon 1,4,20 NW,Mostly Cloudy,GR,BL
149.233,A1700,2019-05-19,2,Corner,-53.98381,48.35182,77.5,15:13:00,151300,Afternoon 1,4,20 NW,Mostly Cloudy,IR,BL
149.233,A1700,2019-05-19,3,Middle,-53.98392,48.35111,50,15:30:00,153000,Afternoon 1,4,20 NW,Mostly Cloudy,IR,BL
149.233,A1700,2019-05-20,1,Spruce,-53.98246,48.34985,19,19:31:00,193100,Evening 1,App not working,,Sun & Clouds,GR,BL
149.233,A1700,2019-05-20,2,New point,-53.9848,48.35209,78,19:21:00,192100,Evening 1,App not working,,Sun & Clouds,IR,BL
149.233,A1700,2019-05-20,3,Rock,-53.98146,48.34948,6,19:34:00,193400,Evening 1,App not working,,Sun & Clouds,GR,BL
149.233,A1700,2019-05-21,1,Knoll,-53.98013,48.34954,324,06:08:00,60800,Morning 2,App not working,,Cloudy,GR,BL
149.233,A1700,2019-05-21,2,Spruce,-53.98246,48.34985,6.5,06:21:00,62100,Morning 2,App not working,,Cloudy,GR,BL
149.233,A1700,2019-05-21,3,Corner,-53.98381,48.35182,85.5,06:08:00,60800,Morning 2,App not working,,Cloudy,IR,BL
149.233,A1700,2019-05-22,1,Knoll,-53.98013,48.34954,330.5,06:11:00,61100,Morning 2,1,11 NNE,Drizzling,GR,BL
149.233,A1700,2019-05-22,2,Spruce,-53.98246,48.34985,5,06:30:00,63000,Morning 2,1,11 NNE,Drizzling,GR,BL
149.233,A1700,2019-05-22,3,Corner,-53.98381,48.35182,73,06:13:00,61300,Morning 2,1,11 NNE,Drizzling,IR,BL
149.233,A1700,2019-05-23,1,Knoll,-53.98013,48.34954,353,09:27:00,92700,Morning 2,1,18 NW,Cloudy,GR,BL
149.233,A1700,2019-05-23,2,Spruce,-53.98246,48.34985,20,09:40:00,94000,Morning 2,1,18 NW,Cloudy,GR,BL
149.233,A1700,2019-05-23,3,Corner,-53.98381,48.35182,62.5,09:27:00,92700,Morning 2,1,18 NW,Cloudy,IR,BL
149.233,A1700,2019-05-24,1,Knoll,-53.98013,48.34954,1,19:51:00,195100,Evening 2,10,7 WNW,Sun & Clouds,GR,BL
149.233,A1700,2019-05-24,2,Spruce,-53.98246,48.34985,27.5,20:02:00,200200,Evening 2,10,7 WNW,Sun & Clouds,GR,BL
149.233,A1700,2019-05-24,3,Middle,-53.98392,48.35111,55,19:58:00,195800,Evening 2,10,7 WNW,Sun & Clouds,IR,BL
149.233,A1700,2019-05-25,1,Corner,-53.98381,48.35182,55,07:17:00,71700,Morning 4,4,10 NW,Clear,IR,BL
149.233,A1700,2019-05-25,2,Knoll,-53.98013,48.34954,348,07:15:00,71500,Morning 4,4,10 NW,Clear,GR,BL
149.233,A1700,2019-05-25,3,Spruce,-53.98246,48.34985,18,07:28:00,72800,Morning 4,4,10 NW,Clear,GR,BL
149.233,A1700,2019-05-26,1,Corner,-53.98381,48.35182,50.5,16:20:00,162000,Afternoon 2,14,8 ENE,Sunny,GR,BL
149.233,A1700,2019-05-26,2,Middle,-53.98392,48.35111,36,16:25:00,162500,Afternoon 2,14,8 ENE,Sunny,GR,BL
149.233,A1700,2019-05-26,3,Knoll,-53.98013,48.34954,320,16:49:00,164900,Afternoon 2,14,8 ENE,Sunny,GR,BL
149.233,A1700,2019-05-27,1,Corner,-53.98381,48.35182,55,17:17:00,171700,Afternoon 2,6,11 E,Sun & Clouds,GR,BL
149.233,A1700,2019-05-27,2,Middle,-53.98392,48.35111,42,17:22:00,172200,Afternoon 2,6,11 E,Sun & Clouds,GR,BL
149.233,A1700,2019-05-27,3,Spruce,-53.98246,48.34985,16,17:32:00,173200,Afternoon 2,6,11 E,Sun & Clouds,GR,BL
149.233,A1700,2019-05-28,1,Knoll,-53.98013,48.34954,10,09:42:00,94200,Morning 1,4,2 NE,Cloudy,GR,BL
149.233,A1700,2019-05-28,2,Rock,-53.98146,48.34948,21,09:49:00,94900,Morning 1,4,2 NE,Cloudy,GR,BL
149.233,A1700,2019-05-28,3,Middle,-53.98392,48.35111,59,10:05:00,100500,Morning 1,4,2 NE,Cloudy,GR,BL
149.233,A1700,2019-06-11,1,Knoll,-53.98013,48.34954,3,06:28:00,62800,Morning 2,6,20 NW,Some Clouds,GR,BL
149.233,A1700,2019-06-11,2,Spruce,-53.98246,48.34985,31,06:57:00,65700,Morning 2,6,20 NW,Some Clouds,GR,BL
149.233,A1700,2019-06-11,3,Squirrel,-53.9848,48.35209,91.5,06:47:00,64700,Morning 2,6,20 NW,Some Clouds,IR,BL
149.233,A1700,2019-06-12,1,Spruce,-53.98246,48.34985,42,06:32:00,63200,Morning 2,8,20 S,Overcast,GR,BL
149.233,A1700,2019-06-12,2,Rock,-53.98146,48.34948,31,06:47:00,64700,Morning 2,8,20 S,Overcast,GR,BL
149.233,A1700,2019-06-12,3,Corner,-53.98381,48.35182,86,06:32:00,63200,Morning 2,8,20 S,Overcast,IR,BL
149.233,A1700,2019-06-13,1,Knoll,-53.98013,48.34954,342,06:08:00,60800,Morning 2,7,20 SW,Cloudy,GR,BL
149.233,A1700,2019-06-13,2,Spruce,-53.98246,48.34985,26.5,06:21:00,62100,Morning 2,7,20 SW,Cloudy,GR,BL
149.233,A1700,2019-06-13,3,Corner,-53.98381,48.35182,83.5,06:11:00,61100,Morning 2,7,20 SW,Cloudy,IR,BL
149.233,A1700,2019-06-14,1,Knoll,-53.98013,48.34954,13,19:43:00,194300,Evening 3,10,20 SE,Some Clouds,GR,BL
149.233,A1700,2019-06-14,2,Corner,-53.98381,48.35182,97,19:42:00,194200,Evening 3,10,20 SE,Some Clouds,IR,BL
149.233,A1700,2019-06-14,3,Middle,-53.98392,48.35111,77.5,19:57:00,195700,Evening 3,10,20 SE,Some Clouds,IR,BL
149.233,A1700,2019-06-16,1,Knoll,-53.98013,48.34954,355,19:29:00,192900,Evening 1,11,10 S,Cloudy,GR,BL
149.233,A1700,2019-06-16,2,Spruce,-53.98246,48.34985,38,19:41:00,194100,Evening 1,11,10 S,Cloudy,GR,BL
149.233,A1700,2019-06-16,3,Corner,-53.98381,48.35182,88.5,19:27:00,192700,Evening 1,11,10 S,Cloudy,IR,BL
149.233,A1700,2019-06-17,1,Knoll,-53.98013,48.34954,342,05:58:00,55800,Morning 2,7,5 VR,Cloudy,GR,BL
149.233,A1700,2019-06-17,2,Spruce,-53.98246,48.34985,18,06:10:00,61000,Morning 2,7,5 VR,Cloudy,GR,BL
149.233,A1700,2019-06-17,3,Corner,-53.98381,48.35182,69,05:58:00,55800,Morning 2,7,5 VR,Cloudy,IR,BL
149.233,A1700,2019-06-18,1,Knoll,-53.98013,48.34954,338,19:58:00,195800,Evening 2,10,20 NW,Cloudy,GR,BL
149.233,A1700,2019-06-18,2,Spruce,-53.98246,48.34985,13,20:12:00,201200,Evening 2,10,20 NW,Cloudy,GR,BL
149.233,A1700,2019-06-18,3,Corner,-53.98381,48.35182,92,19:57:00,195700,Evening 2,10,20 NW,Cloudy,IR,BL
149.233,A1700,2019-06-19,1,Spruce,-53.98246,48.34985,14,07:23:00,72300,Morning 4,7,20 NW,Cloudy,GR,BL
149.233,A1700,2019-06-19,2,Top,-53.98657,48.35251,80,07:11:00,71100,Morning 4,7,20 NW,Cloudy,IR,BL
149.233,A1700,2019-06-19,3,Squirrel,-53.9848,48.35209,69,07:21:00,72100,Morning 4,7,20 NW,Cloudy,IR,BL
149.233,A1700,2019-06-20,1,Spruce,-53.98246,48.34985,28,11:33:00,113300,Morning 2,14,10 W,Sunny,GR,BL
149.233,A1700,2019-06-20,2,Corner,-53.98381,48.35182,52.5,11:22:00,112200,Morning 2,14,10 W,Sunny,IR,BL
149.233,A1700,2019-06-20,3,Middle,-53.98392,48.35111,43.5,11:35:00,113500,Morning 2,14,10 W,Sunny,IR,BL
149.233,A1700,2019-06-21,1,Knoll,-53.98013,48.34954,3,05:22:00,52200,Morning 1,10,10 SE,Cloudy,GR,BL
149.233,A1700,2019-06-21,2,Spruce,-53.98246,48.34985,31.5,05:45:00,54500,Morning 1,10,10 SE,Cloudy,GR,BL
149.233,A1700,2019-06-21,3,Corner,-53.98381,48.35182,60.5,05:22:00,52200,Morning 1,10,10 SE,Cloudy,IR,BL
149.233,A1700,2019-06-24,1,Top,-53.98657,48.35251,124.5,20:22:00,202200,Evening 3,10,10 NW,Partly Cloudy,IR,BL
149.233,A1700,2019-06-24,2,Spruce,-53.98246,48.34985,30,20:03:00,200300,Evening 3,10,10 NW,Partly Cloudy,GR,BL
149.233,A1700,2019-06-24,3,Rock,-53.98146,48.34948,344,20:14:00,201400,Evening 3,10,10 NW,Partly Cloudy,GR,BL
149.233,A1700,2019-06-25,1,Knoll,-53.98013,48.34954,331,05:17:00,51700,Morning 1,8,15 NW,Partly Cloudy,GR,BL
149.233,A1700,2019-06-25,2,Corner,-53.98381,48.35182,36.5,05:26:00,52600,Morning 1,8,15 NW,Partly Cloudy,IR,BL
149.233,A1700,2019-06-25,3,Squirrel,-53.9848,48.35209,50.5,05:33:00,53300,Morning 1,8,15 NW,Partly Cloudy,IR,BL
149.233,A1700,2019-06-26,1,Knoll,-53.98013,48.34954,339.5,05:14:00,51400,Morning 1,8,10 VR,Cloudy,GR,BL
149.233,A1700,2019-06-26,2,Spruce,-53.98246,48.34985,25,05:32:00,53200,Morning 1,8,10 VR,Cloudy,GR,BL
149.233,A1700,2019-06-26,3,Middle,-53.98392,48.35111,65.5,05:36:00,53600,Morning 1,8,10 VR,Cloudy,IR,BL
149.233,A1700,2019-06-27,1,Knoll,-53.98013,48.34954,356,05:51:00,55100,Morning 2,9,10 VR,Partly Cloudy,GR,BL
149.233,A1700,2019-06-27,2,Rock,-53.98146,48.34948,23,06:12:00,61200,Morning 2,9,10 VR,Partly Cloudy,GR,BL
149.233,A1700,2019-06-27,3,Corner,-53.98381,48.35182,103.5,05:50:00,55000,Morning 2,9,10 VR,Partly Cloudy,IR,BL
149.233,A1700,2019-06-28,1,Corner,-53.98381,48.35182,78,06:05:00,60500,Morning 2,5,2 NNW,Cloudy,IR,BL
149.233,A1700,2019-06-28,2,Middle,-53.98392,48.35111,65.5,06:19:00,61900,Morning 2,5,2 NNW,Cloudy,IR,BL
149.233,A1700,2019-06-28,3,Spruce,-53.98246,48.34985,32,06:08:00,60800,Morning 2,5,2 NNW,Cloudy,GR,BL
149.233,A1700,2019-07-10,1,Knoll,-53.98013,48.34954,359,06:20:00,62000,Morning 1,9,10 NW,Cloudy,GR,BL
149.233,A1700,2019-07-10,2,Corner,-53.98381,48.35182,79,06:30:00,63000,Morning 1,9,10 NW,Cloudy,IR,BL
149.233,A1700,2019-07-10,3,Middle,-53.98392,48.35111,59.5,06:39:00,63900,Morning 1,9,10 NW,Cloudy,IR,BL
149.233,A1700,2019-07-13,1,Knoll,-53.98013,48.34954,11,19:00:00,190000,Evening 3,18,14 SSW,Cloudy,GR,BL
149.233,A1700,2019-07-13,2,Spruce,-53.98246,48.34985,43,19:17:00,191700,Evening 3,18,14 SSW,Cloudy,GR,BL
149.233,A1700,2019-07-13,3,Corner,-53.98381,48.35182,83,19:06:00,190600,Evening 3,18,14 SSW,Cloudy,IR,BL
149.233,A1700,2019-07-22,1,Knoll,-53.98013,48.34954,355,18:43:00,184300,Evening 1,19,13 NW,Partly Cloudy,GR,BL
149.233,A1700,2019-07-22,2,Spruce,-53.98246,48.34985,20,18:53:00,185300,Evening 1,19,13 NW,Partly Cloudy,GR,BL
149.233,A1700,2019-07-22,3,Corner,-53.98381,48.35182,73,18:43:00,184300,Evening 1,19,13 NW,Partly Cloudy,IR,BL
149.233,A1700,2019-07-29,1,Knoll,-53.98013,48.34954,1.5,20:08:00,200800,Evening 3,22,16 SW,Clear,GR,BL
149.233,A1700,2019-07-29,2,Spruce,-53.98246,48.34985,36,20:12:00,201200,Evening 3,22,16 SW,Clear,GR,BL
149.233,A1700,2019-07-29,3,Middle,-53.98392,48.35111,68.5,20:23:00,202300,Evening 3,22,16 SW,Clear,IR,BL
149.233,A1700,2019-08-26,1,Corner,-53.98381,48.35182,89,18:24:00,182400,Evening 3,20,6 NE,Sunny,IR,BL
149.233,A1700,2019-08-26,2,Knoll,-53.98013,48.34954,8.5,18:28:00,182800,Evening 3,20,6 NE,Sunny,GR,BL
149.233,A1700,2019-08-26,3,Spruce,-53.98246,48.34985,37,18:36:00,183600,Evening 3,20,6 NE,Sunny,GR,BL
149.233,A1700,2019-08-27,1,Flagging Tape,-53.98401,48.35032,39,06:57:00,65700,Morning 1,11,5 SW,Clear,IR,BL
149.233,A1700,2019-08-27,2,Knoll,-53.98013,48.34954,14,06:28:00,62800,Morning 1,11,5 SW,Clear,GR,BL
149.233,A1700,2019-08-27,3,Spruce,-53.98246,48.34985,29,06:40:00,64000,Morning 1,11,5 SW,Clear,GR,BL
149.233,A1700,2019-08-28,1,Corner,-53.98381,48.35182,71,18:44:00,184400,Evening 1,16,6 NE,Mostly Cloudy,IR,BL
149.233,A1700,2019-08-28,2,Knoll,-53.98013,48.34954,353,18:38:00,183800,Evening 1,16,6 NE,Mostly Cloudy,GR,BL
149.233,A1700,2019-08-28,3,Spruce,-53.98246,48.34985,27.5,18:51:00,185100,Evening 1,16,6 NE,Mostly Cloudy,GR,BL
149.233,A1700,2019-08-29,1,Middle,-53.98392,48.35111,59,06:45:00,64500,Morning 1,10,8 NNE,Drizzling,IR,BL
149.233,A1700,2019-08-29,2,Knoll,-53.98013,48.34954,3,06:26:00,62600,Morning 1,10,8 NNE,Drizzling,GR,BL
149.233,A1700,2019-08-29,3,Spruce,-53.98246,48.34985,35.5,06:33:00,63300,Morning 1,10,8 NNE,Drizzling,GR,BL
149.233,A1700,2019-08-30,1,Middle,-53.98392,48.35111,63.5,10:27:00,102700,Morning 1,13,13 SSW,Overcast,IR,BL
149.233,A1700,2019-08-30,2,Knoll,-53.98013,48.34954,344,10:08:00,100800,Morning 1,13,13 SSW,Overcast,GR,BL
149.233,A1700,2019-08-30,3,Rock,-53.98146,48.34948,4.5,10:24:00,102400,Morning 1,13,13 SSW,Overcast,GR,BL
149.233,A1700,2019-08-31,1,Spruce,-53.98246,48.34985,17,06:35:00,63500,Morning 1,16,12 WSW,Clear,GR,BL
149.233,A1700,2019-08-31,2,Rock,-53.98146,48.34948,346.5,06:45:00,64500,Morning 1,16,12 WSW,Clear,GR,BL
149.233,A1700,2019-08-31,3,Flagging Tape,-53.98401,48.35032,67,06:52:00,65200,Morning 1,16,12 WSW,Clear,GR,BL
149.233,A1700,2019-09-01,1,Flagging Tape,-53.98401,48.35032,45,08:50:00,85000,Morning 2,15,19 WSW,Sunny,GR,BL
149.233,A1700,2019-09-01,2,Spruce,-53.98246,48.34985,13,08:55:00,85500,Morning 2,15,19 WSW,Sunny,GR,BL
149.233,A1700,2019-09-01,3,Knoll,-53.98013,48.34954,339,09:11:00,91100,Morning 2,15,19 WSW,Sunny,GR,BL
149.294,A1698,2019-05-10,1,Knoll,-53.98013,48.34954,318,15:19:00,151900,Late Afternoon,,,No,GR,BL
149.294,A1698,2019-05-10,2,Corner,-53.98381,48.35182,329,15:55:00,155500,Late Afternoon,,,No,IR,BL
149.294,A1698,2019-05-10,3,Flagging Tape,-53.98401,48.35032,345,16:50:00,165000,Late Afternoon,,,No,IR,BL
149.294,A1698,2019-05-12,1,Corner,-53.98381,48.35182,239,08:57:00,85700,Morning 1,2,9 NE,Wet snow,IR,BL
149.294,A1698,2019-05-12,2,Spruce,-53.98246,48.34985,325,09:25:00,92500,Morning 1,2,9 NE,Wet snow,GR,BL
149.294,A1698,2019-05-12,3,Flagging Tape,-53.98401,48.35032,345,09:40:00,94000,Morning 1,2,9 NE,Wet snow,IR,BL
149.294,A1698,2019-05-13,1,Knoll,-53.98013,48.34954,300,11:51:00,115100,Morning 4,6,13 NNW,Mixed clouds,GR,BL
149.294,A1698,2019-05-13,2,Corner,-53.98381,48.35182,260,11:50:00,115000,Morning 4,6,13 NNW,Mixed clouds,IR,BL
149.294,A1698,2019-05-13,3,Flagging Tape,-53.98401,48.35032,318,11:55:00,115500,Morning 4,6,13 NNW,Mixed clouds,IR,BL
149.294,A1698,2019-05-14,1,Knoll,-53.98013,48.34954,303,13:08:00,130800,Afternoon 1,12,6 NW,Sunny,GR,BL
149.294,A1698,2019-05-14,2,Corner,-53.98381,48.35182,238,13:08:00,130800,Afternoon 1,12,6 NW,Sunny,IR,BL
149.294,A1698,2019-05-14,3,Middle,-53.98392,48.35111,318,13:24:00,132400,Afternoon 1,12,6 NW,Sunny,IR,BL
